time,low,high,open,close,volume
2026-01-29 09:40:00,87839.43,87960.1,87960.1,87872.98,9.57645123
2026-01-29 09:45:00,87809.63,87883.37,87872.97,87812.75,8.6943324
2026-01-29 09:50:00,87742.5,87829.98,87812.74,87768.02,18.88935681
2026-01-29 09:55:00,87712.08,87781.31,87768.03,87739.47,12.40904683
2026-01-29 10:00:00,87691.01,87742.44,87739.47,87691.01,48.29348766
2026-01-29 10:05:00,87688.98,87776.46,87688.99,87762.57,6.99993421
2026-01-29 10:10:00,87758.58,87836.82,87762.57,87781.95,14.89770465
2026-01-29 10:15:00,87737.58,87842.26,87781.95,87759.42,16.16785202
2026-01-29 10:20:00,87747.08,87825.05,87759.42,87791.05,5.85758235
2026-01-29 10:25:00,87738.86,87823.25,87791.05,87809.89,5.81748659
2026-01-29 10:30:00,87746.1,87809.88,87809.88,87766.72,8.64098321
2026-01-29 10:35:00,87762.33,87800.32,87766.72,87800.31,5.25578414
2026-01-29 10:40:00,87759.88,87805.62,87800.31,87768.92,5.6147048
2026-01-29 10:45:00,87671.73,87777.96,87768.92,87702.43,9.97268807
2026-01-29 10:50:00,87703.55,87850.63,87703.56,87835.19,13.56996437
2026-01-29 10:55:00,87781.47,87838.0,87835.19,87799.99,2.90215348
2026-01-29 11:00:00,87676.93,87839.64,87799.99,87828.35,46.40935655
2026-01-29 11:05:00,87798.88,87881.73,87828.35,87865.98,10.82846714
2026-01-29 11:10:00,87850.7,87932.92,87865.99,87875.67,10.82072613
2026-01-29 11:15:00,87771.21,87889.36,87875.68,87800.76,13.13399958
2026-01-29 11:20:00,87674.41,87844.5,87800.76,87680.11,11.18300408
2026-01-29 11:25:00,87630.66,87688.99,87684.0,87643.46,9.49876034
2026-01-29 11:30:00,87619.29,87740.71,87643.45,87688.05,12.94814806
2026-01-29 11:35:00,87640.0,87757.99,87688.05,87702.16,10.99940427
2026-01-29 11:40:00,87637.16,87703.9,87702.16,87641.39,12.92867242
2026-01-29 11:45:00,87601.0,87648.0,87644.16,87601.0,17.536868
2026-01-29 11:50:00,87599.16,87682.1,87601.0,87628.73,23.71283425
2026-01-29 11:55:00,87628.74,87690.0,87628.74,87675.87,15.04348836
2026-01-29 12:00:00,87642.07,87788.93,87675.87,87753.97,25.23254858
2026-01-29 12:05:00,87753.97,87898.98,87753.97,87897.97,14.99019447
2026-01-29 12:10:00,87836.91,87897.97,87897.97,87859.85,12.30121678
2026-01-29 12:15:00,87854.43,87946.38,87859.85,87870.01,15.38686217
2026-01-29 12:20:00,87798.16,87870.01,87870.01,87851.81,10.19635842
2026-01-29 12:25:00,87786.2,87853.99,87851.81,87786.21,11.79760342
2026-01-29 12:30:00,87774.28,87865.99,87786.21,87861.25,7.21320855
2026-01-29 12:35:00,87721.61,87913.97,87861.25,87721.61,10.45052202
2026-01-29 12:40:00,87686.3,87848.0,87721.6,87843.9,14.36339091
2026-01-29 12:45:00,87840.11,87922.67,87843.89,87857.92,11.49706768
2026-01-29 12:50:00,87850.0,87881.55,87857.92,87861.45,4.9005933
2026-01-29 12:55:00,87850.47,87975.56,87865.04,87968.4,8.46470873
2026-01-29 13:00:00,87954.65,88029.0,87968.4,87982.31,14.27263334
2026-01-29 13:05:00,87924.27,87998.67,87982.31,87940.07,10.48270641
2026-01-29 13:10:00,87933.99,87984.0,87940.06,87981.97,15.96194063
2026-01-29 13:15:00,87924.75,87981.99,87981.99,87934.9,14.89373352
2026-01-29 13:20:00,87912.35,87977.78,87934.9,87955.1,7.98125551
2026-01-29 13:25:00,87939.34,88022.83,87955.1,88017.89,28.89099679
2026-01-29 13:30:00,87914.02,88018.0,88018.0,87960.01,18.51672223
2026-01-29 13:35:00,87903.34,87975.9,87960.01,87908.42,24.81305528
2026-01-29 13:40:00,87906.0,87962.68,87906.01,87931.92,16.68264875
2026-01-29 13:45:00,87903.01,87952.43,87931.92,87919.59,39.24606263
2026-01-29 13:50:00,87800.0,87925.97,87919.61,87838.0,10.28903058
2026-01-29 13:55:00,87822.08,87904.05,87838.01,87903.93,15.67050901
2026-01-29 14:00:00,87806.0,87936.38,87903.92,87820.34,18.71782547
2026-01-29 14:05:00,87800.0,87912.26,87820.34,87912.25,11.07060097
2026-01-29 14:10:00,87794.91,87918.0,87912.25,87844.91,32.56708018
2026-01-29 14:15:00,87844.9,87912.26,87844.91,87859.81,16.24943689
2026-01-29 14:20:00,87839.11,87912.26,87859.66,87841.6,17.27192028
2026-01-29 14:25:00,87656.11,87841.59,87841.59,87666.29,24.74416533
2026-01-29 14:30:00,87490.1,87804.7,87666.28,87562.21,110.2241641
2026-01-29 14:35:00,87389.8,87785.71,87563.6,87651.1,69.93922207
2026-01-29 14:40:00,87418.04,87713.62,87650.5,87509.55,105.29281076
2026-01-29 14:45:00,87422.79,87704.73,87511.99,87622.82,89.5721228
2026-01-29 14:50:00,87235.41,87630.74,87622.82,87293.94,112.48721031
2026-01-29 14:55:00,86830.0,87306.0,87293.93,86852.0,266.05829083
2026-01-29 15:00:00,86246.35,86880.25,86851.98,86371.98,296.02380189
2026-01-29 15:05:00,85913.04,86417.66,86371.97,85954.0,366.14764595
2026-01-29 15:10:00,85125.97,85975.38,85948.0,85205.19,376.53215341
2026-01-29 15:15:00,85053.0,85509.54,85182.0,85378.93,239.48506006
2026-01-29 15:20:00,85205.08,85642.22,85385.99,85404.0,171.66284293
2026-01-29 15:25:00,85244.79,85467.8,85405.98,85307.45,139.21986412
2026-01-29 15:30:00,85000.0,85482.0,85307.46,85159.99,192.4173165
2026-01-29 15:35:00,84950.0,85342.0,85159.99,84963.72,275.89732723
2026-01-29 15:40:00,84259.0,84962.7,84962.7,84467.75,305.11713953
2026-01-29 15:45:00,84300.0,84619.99,84465.32,84334.0,127.08608584
2026-01-29 15:50:00,84206.0,84757.15,84334.0,84643.99,253.18705955
2026-01-29 15:55:00,84610.73,84986.03,84643.99,84781.27,163.15485772
2026-01-29 16:00:00,84532.93,84841.91,84780.01,84543.99,88.39798017
2026-01-29 16:05:00,84285.11,84662.03,84538.01,84422.0,147.35308209
2026-01-29 16:10:00,84325.95,84646.39,84421.99,84636.64,108.18590999
2026-01-29 16:15:00,84603.0,84782.78,84634.59,84618.39,93.88231379
2026-01-29 16:20:00,84418.71,84805.28,84618.39,84454.93,109.73116731
2026-01-29 16:25:00,84333.18,84545.94,84453.93,84368.94,126.61353684
2026-01-29 16:30:00,84133.25,84512.29,84368.94,84329.97,169.31761992
2026-01-29 16:35:00,84233.73,84450.99,84329.96,84385.98,122.14022554
2026-01-29 16:40:00,84353.74,84677.4,84385.99,84490.0,107.45289937
2026-01-29 16:45:00,84437.9,84782.8,84491.89,84680.09,129.49860109
2026-01-29 16:50:00,84660.35,84869.0,84680.1,84853.17,104.31410263
2026-01-29 16:55:00,84848.18,85252.0,84851.0,85131.95,125.43999595
2026-01-29 17:00:00,85036.98,85343.42,85131.96,85050.03,137.08463553
2026-01-29 17:05:00,84937.7,85099.57,85050.03,84976.72,165.97548242
2026-01-29 17:10:00,84972.01,85173.85,84976.73,85086.14,113.828304
2026-01-29 17:15:00,84992.01,85466.7,85086.14,85393.79,114.23361946
2026-01-29 17:20:00,85100.87,85493.8,85393.79,85128.63,121.16879778
2026-01-29 17:25:00,84901.0,85139.34,85128.63,84919.48,111.52808533
2026-01-29 17:30:00,84833.36,84958.17,84919.15,84958.13,71.01943908
2026-01-29 17:35:00,84781.0,85023.74,84958.12,84799.41,64.90703268
2026-01-29 17:40:00,84577.77,84801.99,84797.05,84750.72,93.34926923
2026-01-29 17:45:00,84427.62,84777.4,84750.72,84447.46,110.95553243
2026-01-29 17:50:00,84161.84,84657.29,84447.45,84168.01,109.11717872
2026-01-29 17:55:00,83878.0,84258.87,84168.01,84118.01,240.85737146
2026-01-29 18:00:00,84086.85,84369.98,84119.19,84350.67,140.86281424
2026-01-29 18:05:00,84246.49,84418.41,84350.66,84336.0,87.63792537
2026-01-29 18:10:00,84305.84,84484.01,84333.99,84375.02,80.25669634
2026-01-29 18:15:00,84012.52,84415.44,84375.02,84075.75,120.04625451
2026-01-29 18:20:00,83730.32,84100.0,84081.84,83867.4,144.90467824
2026-01-29 18:25:00,83586.01,83926.54,83867.39,83721.16,176.22366638
2026-01-29 18:30:00,83455.0,83771.81,83721.16,83719.03,159.52191796
2026-01-29 18:35:00,83719.03,83951.35,83719.03,83751.85,101.37730803
2026-01-29 18:40:00,83720.01,83957.87,83751.85,83873.98,158.76357882
2026-01-29 18:45:00,83716.51,83890.1,83873.98,83745.11,110.89830935
2026-01-29 18:50:00,83263.11,83787.39,83745.09,83428.0,183.37717123
2026-01-29 18:55:00,83290.01,83583.99,83431.9,83321.0,150.00010828
2026-01-29 19:00:00,83216.21,83468.99,83320.99,83399.96,122.4070046
2026-01-29 19:05:00,83300.09,83500.0,83399.97,83444.02,75.19007986
2026-01-29 19:10:00,83325.26,83540.19,83444.01,83504.43,96.57817442
2026-01-29 19:15:00,83483.06,83803.2,83509.96,83649.15,78.88389982
2026-01-29 19:20:00,83395.21,83690.76,83653.09,83396.21,72.02523665
2026-01-29 19:25:00,83396.21,83641.22,83396.21,83634.53,114.97879803
2026-01-29 19:30:00,83637.29,84100.0,83637.3,83924.6,180.82559123
2026-01-29 19:35:00,83857.93,84028.99,83920.03,83893.08,201.65659466
2026-01-29 19:40:00,83866.4,84011.28,83890.67,83993.92,107.87443597
2026-01-29 19:45:00,83924.64,84066.98,83993.92,83942.0,83.0517472
2026-01-29 19:50:00,83806.78,84016.0,83942.0,83929.98,159.2474484
2026-01-29 19:55:00,83808.0,84055.98,83929.93,83835.02,185.56147964
2026-01-29 20:00:00,83717.95,83863.54,83834.96,83763.0,136.5856083
2026-01-29 20:05:00,83698.71,83934.16,83763.01,83802.04,80.47729044
2026-01-29 20:10:00,83719.12,83859.67,83805.95,83733.97,116.44066119
2026-01-29 20:15:00,83733.96,84047.81,83733.96,84008.06,114.49897068
2026-01-29 20:20:00,83961.73,84013.73,84008.07,83986.05,75.3725849
2026-01-29 20:25:00,83818.39,84008.59,83989.48,83823.13,92.87289394
2026-01-29 20:30:00,83760.0,83877.85,83823.13,83785.66,130.09929071
2026-01-29 20:35:00,83620.0,83799.24,83785.66,83734.21,130.37469242
2026-01-29 20:40:00,83714.65,83974.36,83728.01,83914.27,86.41556137
2026-01-29 20:45:00,83832.0,84062.57,83914.27,83934.54,53.39969952
2026-01-29 20:50:00,83933.33,84221.02,83937.95,84039.51,94.7223976
2026-01-29 20:55:00,83894.06,84124.0,84030.15,84043.29,74.1341884
2026-01-29 21:00:00,84017.91,84189.99,84045.19,84153.99,53.53875175
2026-01-29 21:05:00,84086.34,84297.2,84150.91,84281.17,37.48987687
2026-01-29 21:10:00,84208.8,84313.39,84282.26,84269.31,31.05659465
2026-01-29 21:15:00,84186.35,84269.3,84269.3,84230.0,16.81337907
2026-01-29 21:20:00,84057.5,84243.99,84230.01,84092.05,71.4370146
2026-01-29 21:25:00,84064.0,84239.99,84092.05,84213.9,27.18412785
2026-01-29 21:30:00,84131.05,84316.51,84213.9,84195.86,35.49758194
2026-01-29 21:35:00,84166.61,84331.07,84195.86,84296.71,12.09858928
2026-01-29 21:40:00,84271.46,84322.08,84296.71,84302.01,15.58171754
2026-01-29 21:45:00,84288.61,84502.31,84302.01,84485.76,31.27474006
2026-01-29 21:50:00,84330.25,84485.76,84485.76,84435.17,19.64795027
2026-01-29 21:55:00,84350.0,84435.16,84435.16,84375.03,28.71674652
2026-01-29 22:00:00,84313.0,84466.56,84378.87,84460.48,38.61294005
2026-01-29 22:05:00,84400.01,84473.3,84460.48,84427.3,17.93367527
2026-01-29 22:10:00,84144.78,84435.2,84427.3,84210.0,29.2686246
2026-01-29 22:15:00,84210.0,84296.95,84210.0,84283.99,22.40707581
2026-01-29 22:20:00,84242.01,84323.12,84283.98,84298.0,20.82408438
2026-01-29 22:25:00,84260.99,84306.0,84300.89,84289.98,10.99928597
2026-01-29 22:30:00,84251.7,84336.88,84289.99,84265.54,6.73282265
2026-01-29 22:35:00,84221.05,84272.07,84265.53,84240.5,10.15582127
2026-01-29 22:40:00,84231.48,84313.74,84240.49,84311.49,9.78823063
2026-01-29 22:45:00,84237.29,84313.74,84311.42,84304.1,7.59440317
2026-01-29 22:50:00,84304.1,84414.96,84304.11,84411.73,8.5667054
2026-01-29 22:55:00,84382.42,84439.3,84411.73,84425.46,10.92214844
2026-01-29 23:00:00,84289.04,84444.05,84424.35,84328.99,36.85899593
2026-01-29 23:05:00,84298.35,84400.0,84327.98,84324.61,26.71752604
2026-01-29 23:10:00,84289.04,84349.92,84324.61,84338.8,11.78710899
2026-01-29 23:15:00,84316.0,84413.51,84338.8,84387.99,18.50001563
2026-01-29 23:20:00,84360.14,84459.67,84388.0,84456.95,13.11960987
2026-01-29 23:25:00,84348.68,84552.19,84456.95,84442.0,34.81714738
2026-01-29 23:30:00,84443.05,84560.0,84443.05,84559.98,23.28587664
2026-01-29 23:35:00,84537.89,84599.24,84559.99,84599.24,17.66313213
2026-01-29 23:40:00,84486.11,84599.24,84599.24,84533.95,20.13523707
2026-01-29 23:45:00,84489.57,84596.98,84533.95,84591.0,53.50851563
2026-01-29 23:50:00,84538.98,84594.66,84591.0,84574.79,8.77941826
2026-01-29 23:55:00,84500.12,84600.0,84574.79,84513.2,8.60617422
2026-01-30 00:00:00,84506.39,84599.0,84513.19,84589.99,13.34329515
2026-01-30 00:05:00,84508.79,84589.99,84589.98,84543.57,11.63256615
2026-01-30 00:10:00,84368.49,84544.0,84543.57,84391.99,28.74303102
2026-01-30 00:15:00,84354.39,84411.96,84391.99,84405.56,14.59496695
2026-01-30 00:20:00,84273.87,84412.0,84405.56,84289.91,21.1323711
2026-01-30 00:25:00,84170.65,84318.0,84289.9,84239.28,35.36946116
2026-01-30 00:30:00,84115.07,84269.3,84239.3,84205.55,27.70039776
2026-01-30 00:35:00,84182.43,84294.73,84205.55,84221.68,19.06946724
2026-01-30 00:40:00,84215.6,84286.49,84227.3,84257.45,15.76680162
2026-01-30 00:45:00,84251.04,84369.99,84257.45,84328.88,40.86824878
2026-01-30 00:50:00,84023.67,84336.21,84328.88,84046.74,55.93515919
2026-01-30 00:55:00,84041.57,84117.42,84054.37,84041.59,10.36674521
2026-01-30 01:00:00,83826.69,84051.0,84041.6,83944.51,30.77774164
2026-01-30 01:05:00,83944.51,84050.0,83944.51,83993.83,19.34790556
2026-01-30 01:10:00,83955.06,84050.0,83993.83,83992.0,12.5471643
2026-01-30 01:15:00,83783.61,84050.0,83991.99,83862.46,20.18947993
2026-01-30 01:20:00,83376.02,83930.0,83862.45,83692.6,82.80696756
2026-01-30 01:25:00,83620.65,83792.0,83692.6,83631.48,45.16437347
2026-01-30 01:30:00,83500.0,83754.32,83631.48,83617.56,32.92836586
2026-01-30 01:35:00,82222.0,83640.0,83617.56,82769.77,310.85736237
2026-01-30 01:40:00,81000.12,82894.28,82765.99,81899.82,465.36878661
2026-01-30 01:45:00,81336.12,82135.89,81892.0,81877.98,254.431175
2026-01-30 01:50:00,81883.5,82392.82,81883.5,82331.97,117.54491687
2026-01-30 01:55:00,82184.15,82421.08,82330.95,82345.65,98.37176639
2026-01-30 02:00:00,82175.81,82416.74,82345.65,82187.65,68.10878092
2026-01-30 02:05:00,81918.01,82249.99,82183.7,81924.4,157.41921096
2026-01-30 02:10:00,81751.93,82079.39,81921.53,81770.0,76.77619232
2026-01-30 02:15:00,81525.0,81997.97,81770.0,81652.88,103.82486054
2026-01-30 02:20:00,81237.43,81701.8,81658.26,81340.99,191.1580636
2026-01-30 02:25:00,81084.99,81480.0,81334.0,81334.0,98.46628422
2026-01-30 02:30:00,81021.44,81520.0,81330.0,81485.01,111.92836909
2026-01-30 02:35:00,81443.23,81787.24,81483.0,81733.41,65.35017622
