symbol,time,signal_price,roc,roc_score,vol_ratio,atr_fast_pct,close_1h,ema50_1h,trend_ok,fwd_15m,fwd_30m,fwd_1h,fwd_2h,fwd_4h,mfe_15m,mfe_30m,mfe_1h,mfe_2h,mfe_4h
ETH-USD,2026-01-13 14:30:00,3152.9,0.00396058573050709,1.3539090265112792,2.0679365039430095,0.0029252967909613793,3139.33,3116.2224036036214,True,0.0009895651622315617,-0.0033810143042913854,-0.0036981826255194613,0.0064036284055948665,0.01246471502426329,0.0032668337086490936,0.0032668337086490936,0.0032668337086490936,0.013381331472612532,0.014697580005708932
BTC-USD,2026-01-13 14:45:00,92617.62,0.0033775964280119536,1.1778799713656585,6.757969577546741,0.002867521742555736,91973.55,91345.0521630622,True,-0.002406669486864316,-0.0008815817119895132,0.002865545454525918,0.00989358180441267,0.010606837014382411,0.0008894635815518112,0.0008894635815518112,0.005463431256385225,0.011535386031297336,0.012269587579555647
SOL-USD,2026-01-13 14:45:00,143.04,0.006857212254114561,1.4584595044511754,2.049080470336957,0.004701681625843262,142.3,139.85174779920237,True,-0.007899888143176702,-0.0072706935123041955,-0.002237136465324337,0.0037751677852350426,0.0009787472035795218,0.0009787472035795218,0.0009787472035795218,0.0009787472035795218,0.010206935123042563,0.010206935123042563
DOGE-USD,2026-01-13 14:45:00,0.1414,0.010010095977761271,2.2702913647337657,3.094271231301643,0.00440916797432084,0.13948,0.1384370430995788,True,-0.007850070721357849,-0.00756718528995748,-0.0007779349363507708,0.010891089108910987,0.011810466760961844,0.0007779349363507708,0.0007779349363507708,0.002687411598302627,0.014002828854314071,0.016619519094766555
XRP-USD,2026-01-13 15:00:00,2.0759,0.008766360521949706,2.213793271242618,3.255448678732153,0.003959882178623249,2.0759,2.067537402588413,True,0.0001445156317742613,-0.0019268750903222718,0.01016426610145003,0.013680813141288108,0.014355219422901041,0.0022159063538705805,0.0022159063538705805,0.01156125054193363,0.01825714148080353,0.01825714148080353
DOT-USD,2026-01-13 16:15:00,2.293,0.0547557021373613,5.685655726745777,2.053680720014422,0.009630499060958989,2.247,2.092836771514256,True,0.002180549498473569,-0.00566942869603155,-0.019624945486262507,-0.01657217618839959,-0.0213693850850414,0.0056694286960313565,0.020497165285651858,0.020497165285651858,0.020497165285651858,0.020497165285651858
BTC-USD,2026-01-13 21:00:00,94411.91,0.00852821022035662,2.504158417276131,2.19795852432775,0.0034056192936999094,94411.91,91887.39456810728,True,-0.0001261493385739521,-0.0008569893353497825,-0.0034095274632195104,0.01404049552646479,0.008432304780191403,0.0009087836481647592,0.00093303906255044,0.00093303906255044,0.0194688360822273,0.0194688360822273
BTC-USD,2026-01-13 22:15:00,95622.06,0.008170942883288738,1.8294457560363766,2.370300463753605,0.004466348814294261,94090.01,91973.77164386777,True,-0.0032007258576106567,-0.0005245651474147649,0.0009408916729047791,-0.0011745197708561987,-0.001862018032240708,0.0010871968246658396,0.0010871968246658396,0.004966845516609895,0.004966845516609895,0.004966845516609895
ETH-USD,2026-01-13 22:15:00,3320.46,0.012802840359079214,1.8128174158788561,5.229114231428123,0.0070623992504354775,3209.21,3136.654699948932,True,-0.0018491413840250666,0.0037193641844804363,0.00437891135565553,0.0030748751678984347,0.008429554941182782,0.0038578992067363994,0.005728122007191769,0.007571240129379626,0.007571240129379626,0.010402173192870855
SOL-USD,2026-01-13 22:15:00,147.03,0.007237477527944218,1.0518145856768502,4.656226768956392,0.006880944252438608,143.34,140.79306080059166,True,-0.0032646398694143354,-0.00047609331428955437,0.00020403999183840805,-0.011562266204175942,-0.006189213085764787,0.005645106440862494,0.005645106440862494,0.005645106440862494,0.005645106440862494,0.005645106440862494
ADA-USD,2026-01-13 22:15:00,0.4198,0.01192040366400017,1.6062658429800603,4.222489731021173,0.007421189783806009,0.4101,0.39514586242575217,True,0.002382086707956172,0.005002382086707934,0.01429252024773703,0.003334921391138667,0.007622677465459696,0.007860886136255288,0.007860886136255288,0.015483563601715116,0.015959980943306296,0.015959980943306296
DOGE-USD,2026-01-13 22:15:00,0.14842,0.014010177415332201,1.786518188153808,5.766268165093503,0.007842168922898206,0.1445,0.13970778929699987,True,0.0061986255221668516,0.007680905538337166,0.010443336477563642,-0.0008758927368278617,0.0,0.011319229214391692,0.011319229214391692,0.01650720927098779,0.01650720927098779,0.01650720927098779
LINK-USD,2026-01-13 22:15:00,14.035,0.013454800875946934,2.2118878392287193,5.040965725104667,0.006082948980197203,13.718,13.30987540615215,True,0.003063769148557126,0.007053794086213053,0.006555040969006094,0.003135019593872496,0.009191307445671504,0.0073387958674741545,0.008051300320626972,0.009690060562878463,0.009690060562878463,0.010188813680085548
